color,color_coord,music,trial_number,type
"pebble,cat,frog",XX,en-q3,14,assess
"['LO', 'A2', 'DB', 'SH']","{'LO': [250.0, 171.5, 114.75], 'A2': [157.75, 157.75, 157.75], 'DB': [14.70588225, 65.6862745, 164.7058823], 'SH': [141.25, 250.0, 0.0]}",Stravinsky,15,target
"New York,Boston,Chicago",XX,en-q1,16,assess
"['MO', 'LC', 'DR', 'SR']","{'MO': [222.5, 130.5, 64.75], 'LC': [104.9019608, 215.6862745, 232.3529413], 'DR': [174.5, 0.0, 5.5], 'SR': [250.0, 0.0, 44.0]}",Trance,17,target
"doctor,dentist,psychiatrist",XX,en-q4,18,assess
"['SR', 'A3', 'DO', 'SH']","{'SR': [250.0, 0.0, 44.0], 'A3': [197.0, 197.0, 197.0], 'DO': [137.5, 80.5, 0.0], 'SH': [141.25, 250.0, 0.0]}",upper_right,19,catch
"['MO', 'BK', 'A2', 'MB']","{'MO': [222.5, 130.5, 64.75], 'BK': [0.0, 0.0, 0.0], 'A2': [157.75, 157.75, 157.75], 'MB': [114.7058823, 130.3921568, 219.6078433]}",Smooth Jazz,20,target
"['SH', 'SR', 'A2', 'LG']","{'SH': [141.25, 250.0, 0.0], 'SR': [250.0, 0.0, 44.0], 'A2': [157.75, 157.75, 157.75], 'LG': [106.862745, 232.3529413, 180.3921568]}",Balkan Folk,21,target
"['LR', 'SO', 'SH', 'A3']","{'LR': [250.0, 119.5, 143.25], 'SO': [250.0, 100.0, 0.0], 'SH': [141.25, 250.0, 0.0], 'A3': [197.0, 197.0, 197.0]}",Heavy Metal,22,target
"['DO', 'A2', 'MB', 'SH']","{'DO': [137.5, 80.5, 0.0], 'A2': [157.75, 157.75, 157.75], 'MB': [114.7058823, 130.3921568, 219.6078433], 'SH': [141.25, 250.0, 0.0]}",Mozart,23,target
"['DH', 'LR', 'SH', 'MB']","{'DH': [99.0, 137.5, 0.0], 'LR': [250.0, 119.5, 143.25], 'SH': [141.25, 250.0, 0.0], 'MB': [114.7058823, 130.3921568, 219.6078433]}",Salsa,24,target
"['A2', 'SB', 'DY', 'LH']","{'A2': [157.75, 157.75, 157.75], 'SB': [59.8039215, 123.5294118, 250.0], 'DY': [137.5, 137.5, 0.0], 'LH': [197.0, 250.0, 127.5]}",Alternative,25,target
"['DH', 'A2', 'LG', 'SY']","{'DH': [99.0, 137.5, 0.0], 'A2': [157.75, 157.75, 157.75], 'LG': [106.862745, 232.3529413, 180.3921568], 'SY': [250.0, 250.0, 0.0]}",Folk,26,target
"['DY', 'A1', 'MY', 'SH']","{'DY': [137.5, 137.5, 0.0], 'A1': [100.0, 100.0, 100.0], 'MY': [214.75, 192.25, 47.0], 'SH': [141.25, 250.0, 0.0]}",Big Band,27,target
