bbox0,bbox1,bbox2,bbox3,img_id,label,trial_number,type
56,186,104,269,89_89260,light,182,main
38,354,42,255,23_23544,clock,183,main
40,190,14,398,60_60472,fish,184,main
137,288,38,356,116_116703,waterfall,185,main
232,346,94,239,13_13308,egg,186,main
34,400,85,223,201_201125,woman,187,main
35,211,42,290,128_128766,fish,188,main
19,262,60,324,125_125540,sculpture,189,main
16,247,74,342,182_182421,flower,190,main
41,231,52,392,205_205378,frog,191,main
44,190,161,360,94_94386,eye,192,main
98,253,46,166,78_78470,fruit,193,main
31,270,65,292,20_20836,frog,194,main
105,298,40,283,113_113905,squirrel,195,main
62,274,156,238,41_41899,bottle,196,main
42,308,32,290,178_178032,squirrel,197,main
64,226,16,358,74_74041,boat,198,main
50,384,86,210,204_204163,statue,199,main
44,248,115,284,27_27037,plane,200,main
11,222,112,319,0_180,plant,201,main
52,350,94,317,101_101787,face,202,main
42,261,112,293,63_63062,toy,203,main
91,240,23,380,194_194859,car,204,main
86,212,160,260,59_59814,man,205,main
72,296,80,320,123_123045,clock,206,main
